ID,NAME,RAZON_SOCIAL__C,SEGMENTO_POR_TIPO_DE_CLIENTE__C,SEGMENTO_POR_FRECUENCIA_DE_COMPRA__C,DIRECCIONES_PUNTOS_DE_VENTA__C,REGION__C,PHONE,INDUSTRIA,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,REGION_DE_FACTURACION__C,REGION_DE_ENVIO__C,CIUDAD_FACTURACION__C,CIUDAD_ENVIO__C,STATUS
001Jb000002JdfiIAC,Actitud Sana Spa,Actitud Sana Spa,TRADICIONAL,FIEL,Santiago,Metropolitana de Santiago,56934419480,AlimentaciÃ³n Saludable,Irarrazaval 5595 local 2,Ã‘uÃ±oa,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago,Item Created
001Jb000002JdfjIAC,Aldea Nativa Spa,Aldea Nativa Spa, TRADICIONAL,FULL,Santiago,Metropolitana de Santiago,569 66132044,AlimentaciÃ³n Saludable,Manquehue Norte 1960,Vitacura,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago,Item Created
001Jb000002JdfkIAC,Barbara Diaz Rivera Spa,Barbara Diaz Rivera Spa,TRADICIONAL,OCASIONAL,CopiapÃ³,De Atacama,569 88646111,AlimentaciÃ³n Saludable,JUAN MARTINEZ 195,copiapÃ³,Copiapo,De Atacama,De Atacama,Copiapo,Copiapo,Item Created
001Jb000002JdflIAC,Biku Farma Spa,Biku Farma Spa,TRADICIONAL,OCASIONAL,Santiago,Metropolitana de Santiago,56 9 39592944,AlimentaciÃ³n Saludable,BALMORAL 309 LC 201 SB 2 EDIF 2,LAS CONDES,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago,Item Created
001Jb000002JdfmIAC,Casa Turquesa Malvarrosa Spa,Casa Turquesa Malvarrosa Spa,TRADICIONAL,NUEVO,Maitencillo,De ValparaÃ­so,2 2758 9490,AlimentaciÃ³n Saludable,Av. Ortuzar 250,Ã‘uÃ±oa,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago,Item Created
001Jb000002JdfnIAC,Comercial Angelica Toro Mazuela,Comercial Angelica Toro Mazuela,TRADICIONAL,OCASIONAL,Los Vilos,De Coquimbo,994 150 723,AlimentaciÃ³n Saludable,CAUPOLICÃN 611,LOS VILOS,LOS VILOS,De Coquimbo,De Coquimbo,Los Vilos,Los Vilos,Item Created
001Jb000002JdfoIAC,Comercial Aya Spa,Comercial Aya Spa,TRADICIONAL,FIEL,Santiago,Metropolitana de Santiago,956297007,AlimentaciÃ³n Saludable,"Manquehue Norte 151, local 101",Las Condes,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago,Item Created
001Jb000002JdfpIAC,Comercial Cajaluz Limitada,Comercial Cajaluz Limitada,TRADICIONAL,OCASIONAL,Antofagasta,De Antofagasta,56 9 8288 3173, AlimentaciÃ³n Saludable,SAN MARTIN 2326 3,ANTOFAGASTA,ANTOFAGASTA,De Antofagasta,De Antofagasta,Antofagasta,Antofagasta,Item Created
001Jb000002JdfqIAC,Comercial RincÃ³n Natural Spa,Comercial RincÃ³n Natural Spa,TRADICIONAL,FULL,Santiago,Metropolitana de Santiago,977928776,AlimentaciÃ³n Saludable,SANTA ISABEL 0395B,PROVIDENCIA,SANTIAGO,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago,Item Created
001Jb000002JdfrIAC,Comercial Rincon Vegano Limitada,Comercial Rincon Vegano Limitada,TRADICIONAL,NUEVO,ChillÃ¡n,De Ã‘uble,,AlimentaciÃ³n Saludable,ISABEL RIQUELME # 510,chillÃ¡n,Chillan,De Ã‘uble,De Ã‘uble,Chillan,Chillan,Item Created
